date,product,product_original,unit_of_measurement,unit_of_measurement_original,min_crc,max_crc,mode_crc,avg_crc,min_dollars,max_dollars,mode_dollars,avg_dollars
2019-08-20,Large Cavallini Manga (Mango),Manga grande Cavallini,Plastic box (17.5 kg),Caja plástica (17.5 kg),5000.0,7000.0,6000.0,6000.0,8.333333333333334,11.666666666666666,10.0,10.0
2019-08-20,Large Keitt Manga (Mango),Manga grande Keitt,Plastic box (17.5 kg),Caja plástica (17.5 kg),5000.0,5000.0,5000.0,5000.0,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334
2019-08-20,Tommy Large Manga (Mango),Manga grande Tommy,Plastic box (17.5 kg),Caja plástica (17.5 kg),5000.0,6000.0,5000.0,5428.57,8.333333333333334,10.0,8.333333333333334,9.047616666666666
2019-08-20,Cantaloupe Melon,Melón Cantaloupe,Kilo,Kilo,500.0,750.0,600.0,612.5,0.8333333333333334,1.25,1.0,1.0208333333333333
2019-08-20,Yam Root,Ñampí,Kilo,Kilo,800.0,1000.0,900.0,927.27,1.3333333333333333,1.6666666666666667,1.5,1.54545
2019-08-20,Sweet Orange,Naranja dulce,Unit,Unidad,60.0,70.0,60.0,61.25,0.1,0.11666666666666667,0.1,0.10208333333333333
2019-08-20,Yellow Potato,Papa amarilla,Mesh (45 kg),Malla (45 kg),30000.0,33000.0,32000.0,31833.33,50.0,55.0,53.333333333333336,53.055550000000004
2019-08-20,White Potato,Papa blanca,Mesh (45 kg),Malla (45 kg),32000.0,35000.0,35000.0,34000.0,53.333333333333336,58.333333333333336,58.333333333333336,56.666666666666664
2019-08-20,Creole Papaya,Papaya criolla,Kilo,Kilo,350.0,350.0,350.0,350.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
2019-08-20,Hybrid Papaya,Papaya híbrida,Kilo,Kilo,250.0,400.0,300.0,311.11,0.4166666666666667,0.6666666666666666,0.5,0.5185166666666667
2019-08-20,Peach Palm Fruit,Pejibaye,Kilo,Kilo,800.0,1200.0,1000.0,1000.0,1.3333333333333333,2.0,1.6666666666666667,1.6666666666666667
2019-08-20,Cucumber,Pepino,Kilo,Kilo,250.0,300.0,300.0,280.0,0.4166666666666667,0.5,0.5,0.4666666666666667
2019-08-20,Pineapple (Large),Piña - grande,Unit,Unidad,600.0,700.0,600.0,616.67,1.0,1.1666666666666667,1.0,1.0277833333333333
2019-08-20,Pineapple (Medium),Piña - mediana,Unit,Unidad,400.0,500.0,500.0,483.33,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.80555
2019-08-20,Pineapple (small),Piña - pequeña,Unit,Unidad,300.0,400.0,400.0,383.33,0.5,0.6666666666666666,0.6666666666666666,0.6388833333333334
2019-08-20,Ripe Plantain,Plátano maduro,Unit,Unidad,150.0,170.0,160.0,160.0,0.25,0.2833333333333333,0.26666666666666666,0.26666666666666666
2019-08-20,Green Plantain,Plátano verde,Unit,Unidad,150.0,170.0,160.0,160.0,0.25,0.2833333333333333,0.26666666666666666,0.26666666666666666
2019-08-20,Beet,Remolacha,Unit,Unidad,180.0,200.0,200.0,196.0,0.3,0.3333333333333333,0.3333333333333333,0.32666666666666666
2019-08-20,Purple Cabbage,Repollo morado,Kilo,Kilo,500.0,600.0,500.0,520.0,0.8333333333333334,1.0,0.8333333333333334,0.8666666666666667
2019-08-20,Green Cabbage,Repollo verde,Kilo,Kilo,250.0,270.0,270.0,266.67,0.4166666666666667,0.45,0.45,0.44445
2019-08-20,Field watermelon (Large),Sandía de campo - grande,Kilo,Kilo,350.0,400.0,350.0,372.35,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.6205833333333334
